ID_EQUIPO;EQUIPO;NOMBRE;PAIS;ENTRENADOR
1;FC Barcelona - España - Xavi Hernández;Fc Barcelona;España;Xavi Hernández
2;Real Madrid - España - Carlo Ancelotti;Real Madrid;España;Carlo Ancelotti
3;Paris Saint-Germain - Francia - Mauricio Pochettino;Paris Saint-Germain;Francia;Mauricio Pochettino
4;Olympique de Marsella - Francia - Jorge Sampaoli;Olympique de Marsella;Francia;Jorge Sampaoli
5;Manchester City - Inglaterra - Pep Guardiola;Manchester City;Inglaterra;Pep Guardiola
6;Manchester United - Inglaterra - Erik ten Hag;Manchester United;Inglaterra;Erik ten Hag
7;AC Milan - Italia - Stefano Pioli;Ac Milan;Italia;Stefano Pioli
8;Inter Milan - Italia - Simone Inzaghi;Inter Milan;Italia;Simone Inzaghi
9;Bayern Munich - Alemania - Thomas Tuchel;Bayern Munich;Alemania;Thomas Tuchel
10;Borussia Dortmund - Alemania - Marco Rose;Borussia Dortmund;Alemania;Marco Rose
