ID_FECHA;ID_EQUIPOLOCAL;ID_EQUIPOVISITANTE;ID_ESTADIO;ID_LESION;ID_COMPETICION;ID_ARBITRO;GOLESLOCAL;GOLESVISITANTE;POSESIONLOCAL;POSESIONVISITANTE;TIROSLOCAL;TIROSVISITANTE;TARJETASAMARILLASLOCAL;TARJETASAMARILLASVISITANTE;TARJETASROJASLOCAL;TARJETASROJASVISITANTE
1;1;2;1;10;1;1;2;0;71;29;7;5;2;1;0;1
2;2;1;2;9;1;3;0;0;52;48;2;0;6;2;0;0
1;3;4;3;8;2;4;4;3;62;38;0;1;4;3;0;0
2;4;3;4;7;2;5;0;1;39;61;9;7;2;3;1;0
1;5;6;5;6;3;2;3;1;55;45;11;12;0;2;0;0
2;6;5;6;5;3;3;1;0;80;20;3;4;1;1;0;1
1;7;8;7;4;4;1;1;1;28;72;4;3;5;6;0;0
2;8;7;8;3;4;5;2;2;64;36;7;10;4;0;2;0
1;9;10;9;2;5;4;2;3;57;43;10;0;4;0;0;0
2;10;9;10;1;5;2;0;0;36;64;5;1;3;4;0;0
3;1;2;1;9;1;3;1;2;67;33;1;4;0;2;0;1
4;2;1;2;5;1;1;1;1;51;49;14;9;6;5;1;0
3;3;4;3;1;2;5;2;1;29;71;4;11;0;3;0;0
4;4;3;4;2;2;2;5;0;48;52;8;2;2;4;0;0
3;5;6;5;3;3;4;3;0;38;62;2;8;1;2;0;0
4;6;5;6;4;3;3;0;1;61;39;6;4;3;1;0;0
3;7;8;7;5;4;1;2;2;45;55;5;6;4;5;1;1
4;8;7;8;6;4;3;0;4;20;80;0;7;5;6;0;0
3;9;10;9;7;5;2;1;3;72;28;7;1;5;2;0;0
4;10;9;10;8;5;4;6;3;36;64;12;9;1;0;0;0
5;1;2;1;9;1;5;0;0;43;57;4;3;0;0;0;1
6;2;1;2;1;1;3;1;1;64;36;3;5;4;1;0;0
5;3;4;3;2;2;5;1;2;33;67;6;4;2;4;0;0
6;4;3;4;3;2;1;0;5;49;51;8;2;0;2;1;0
5;5;6;5;10;3;4;2;0;71;29;7;5;2;1;0;1
6;6;5;6;9;3;2;0;0;52;48;2;0;6;2;0;0
5;7;8;7;8;4;5;4;3;62;38;0;1;4;3;0;0
6;8;7;8;7;4;4;0;1;39;61;9;7;2;3;1;0
5;9;10;9;6;5;3;3;1;55;45;11;12;0;2;0;0
6;10;9;10;5;5;1;1;0;80;20;3;4;1;1;0;1
7;1;2;1;4;1;5;1;1;28;72;4;3;5;6;0;0
8;2;1;2;3;1;2;2;2;64;36;7;10;4;0;2;0
7;3;4;3;2;2;4;2;3;57;43;10;0;4;0;0;0
8;4;3;4;1;2;1;0;0;36;64;5;1;3;4;0;0
7;5;6;5;9;3;4;1;2;67;33;1;4;0;2;0;1
8;6;5;6;5;3;1;1;1;51;49;14;9;6;5;1;0
7;7;8;7;1;4;3;2;1;29;71;4;11;0;3;0;0
8;8;7;8;2;4;2;5;0;48;52;8;2;2;4;0;0
7;9;10;9;3;5;3;3;0;38;62;2;8;1;2;0;0
8;10;9;10;4;5;5;0;1;61;39;6;4;3;1;0;0
